iter	Logloss
0	0.6925202649
1	0.6919427204
2	0.6913660446
3	0.6908241424
4	0.6903119289
5	0.6898397839
6	0.689437307
7	0.6890481533
8	0.6886852168
9	0.6883539608
10	0.688067556
11	0.6877329048
12	0.6874373324
13	0.6872037276
14	0.6869307321
15	0.6866811469
16	0.6864610436
17	0.686263062
18	0.6860805038
19	0.6858659723
20	0.6856709691
21	0.6855339304
22	0.6853587196
23	0.6852028971
24	0.6850398991
25	0.684899812
26	0.6847004239
27	0.6845131436
28	0.684383169
29	0.684254655
30	0.6840781937
31	0.6839298363
32	0.6838003136
33	0.6836374461
34	0.6835083975
35	0.6833648324
36	0.6832391822
37	0.6830959226
38	0.6829448573
39	0.6827975882
40	0.6826663058
41	0.682534387
42	0.6824557551
43	0.6823757707
44	0.6822418695
45	0.6821699485
46	0.6820706713
47	0.6819372729
48	0.6818734788
49	0.6817506862
50	0.68164613
51	0.6815470023
52	0.6814457491
53	0.681350704
54	0.6812650779
55	0.6811655366
56	0.6810251949
57	0.6809117734
58	0.680847378
59	0.6807407057
60	0.6806241181
61	0.6804821503
62	0.6803995917
63	0.6803209693
64	0.6802804552
65	0.6801875103
66	0.6800634226
67	0.6799864135
68	0.6798946014
69	0.6798037885
70	0.6797310434
71	0.6796083844
72	0.6795187011
73	0.6794447531
74	0.6793627418
75	0.6792572532
76	0.6792012553
77	0.6791347183
78	0.6790781062
79	0.6789863642
80	0.6789153819
81	0.6788674218
82	0.6787751197
83	0.6786810293
84	0.6785983466
85	0.6785359527
86	0.6784386133
87	0.6783234608
88	0.6782685734
89	0.6781779578
90	0.6781144725
91	0.6780522854
92	0.6779853762
93	0.6778919794
94	0.6777696132
95	0.6776844198
96	0.6775939219
97	0.6775014225
98	0.6774271436
99	0.6773339696
100	0.6772570146
101	0.677175086
102	0.6771146045
103	0.6770478226
104	0.6769846777
105	0.676922182
106	0.6768342648
107	0.6767827535
108	0.6767095597
109	0.6766555919
110	0.6765527158
111	0.6764431446
112	0.6763534645
113	0.6762762804
114	0.6762178291
115	0.6761722301
116	0.6760886755
117	0.675986038
118	0.6759173787
119	0.6758463105
120	0.6757412037
121	0.6756597015
122	0.6755973458
123	0.6755166487
124	0.675438109
125	0.6753532275
126	0.6752575842
127	0.6751945125
128	0.6751288697
129	0.6750697661
130	0.6750257232
131	0.6749659386
132	0.6749168298
133	0.6748425636
134	0.6747616756
135	0.6747027692
136	0.6746310487
137	0.6745531581
138	0.6744744689
139	0.6744098125
140	0.6743318615
141	0.6742594887
142	0.674173958
143	0.6740813027
144	0.6740267335
145	0.673965727
146	0.6739168505
147	0.6738787294
148	0.6738410728
149	0.6737501199
150	0.6736532006
151	0.6736032518
152	0.673556084
153	0.6734919464
154	0.6733911513
155	0.6733375622
156	0.6732556623
157	0.6731801805
158	0.6730851737
159	0.6729903164
160	0.6729380255
161	0.6728581366
162	0.672799714
163	0.6727266506
164	0.6726766668
165	0.6725940731
166	0.6725350649
167	0.6724617279
168	0.6723958688
169	0.6723103858
170	0.6722392094
171	0.6721574272
172	0.6721036535
173	0.6720222436
174	0.6719622617
175	0.6718859622
176	0.6718222764
177	0.6717658043
178	0.6716741513
179	0.6716114997
180	0.6715674218
181	0.6714837367
182	0.6714290497
183	0.6713629328
184	0.6712843009
185	0.6712462243
186	0.6711811829
187	0.6711102675
188	0.6710442365
189	0.6709832013
190	0.6709203269
191	0.6708692007
192	0.6708237258
193	0.670747439
194	0.6706747735
195	0.6706230204
196	0.6705616384
197	0.670493644
198	0.6703966961
199	0.6703023798
